,text,line,start_pos,end_pos,file,class,prob,predict
1605,(Closed) Sensing Line to Valve CV-6062 not Shown on License Renewal Boundary Drawing .,38,1305,1391,ano_2001003.txt,,0.7867000102996826,Planning
1633,(Closed) Failure to Revise License Renewal Engineering Report to Reflect the Removal of Lube Oil Valve 2PSV-7132 from the Plant .,38,1423,1552,ano_2001003.txt,,0.4781000018119812,Information
1679,(Closed) Inconsistencies in the Treatment of the Reactor Building Leak Chase Channels and the Tendon Conduits in Engineering Report .,38,1602,1735,ano_2001003.txt,,0.5845000147819519,Control
1724,(Closed) Inconsistencies Concerning the Preferred Source of Water for the SW System .,38,1784,1869,ano_2001003.txt,,0.44530001282691956,Procedural&Team
1754,(Closed) Station Blackout and Reactor Protection System Cables not Identified as In-scope Components in the Turbine Building .,38,1903,2029,ano_2001003.txt,,0.4702000021934509,Management
1804,(Closed) Flammastic Omitted from Table 3.6-8 of the License Renewal Application .,38,2083,2164,ano_2001003.txt,,0.41659998893737793,Control
1838,(Closed) Main Feedwater System Flow and Temperature Element Piping Omitted from the License Renewal Scope .,38,2202,2309,ano_2001003.txt,,0.4406999945640564,Information
1850,(Closed) Inconsistency in the Treatment of Main Feedwater Flow and Temperature Elements in Engineering Report .,38,2325,2436,ano_2001003.txt,,0.31470000743865967,Management
1861,(Closed) Intake Canal Bar Grates Omitted from License Renewal Scope .,38,2451,2520,ano_2001003.txt,,0.4165000021457672,Control
1905,56 Exit Meeting Summary .,38,2563,2588,ano_2001003.txt,,0.28299999237060547,Procedural&Team
1950,"EXECUTIVE SUMMARY Arkansas Nuclear One, Units 1 and 2 NRC Inspection Report No.",42,0,80,ano_2001003.txt,,0.5040000081062317,Control
1951,"50-313/01-03, 50-368/01-03 IR 05000313-01-03, IR 05000368-01-03, on 1/22-26/2001; 2/5-9/2001; and 2/28-29/2001, Entergy Operations, Inc., Arkansas Nuclear One, Units 1 and 2.",42,80,254,ano_2001003.txt,,0.9070000052452087,Procedural&Team
1952,"License Renewal Inspection Program, Aging Management.",42,254,307,ano_2001003.txt,,0.9950000047683716,Procedural&Team
1953,"This inspection of license renewal activities for Unit 1 was performed by four NRC Region IV inspectors, one NRC Region II inspector, and two staff members from the NRC's Office of Nuclear Reactor Regulation.",42,307,515,ano_2001003.txt,,0.478300005197525,Control
1954,"The team was onsite from January 22-26, 2001, February 5-9, 2001, and February 27-28, 2001.",42,515,606,ano_2001003.txt,,0.9926000237464905,Procedural&Team
1955,The inspection was conducted in accordance with the guidance presented in NRC Manual Chapter 2516 and NRC Inspection Procedure 71002.,42,606,739,ano_2001003.txt,,0.48249998688697815,Control
1956,"This inspection included a review of available documentation of your aging management programs and an examination of a sample of plant systems, structures, and commodity groups equipment that support Entergy, Inc.'s application for renewal of the Arkansas Nuclear One, Unit 1, license.",42,739,1024,ano_2001003.txt,,0.35120001435279846,Communication
1957,"· For the seven mechanical systems reviewed, the team found, in general, that the applicant properly identified the effects of aging and identified programs that will manage those effects, in accordance with their license renewal application and the NRC's ""Safety Evaluation Report with open items related to the license renewal of Arkansas Nuclear One, Unit 1,"" dated January 2001, (Section 111.A).",42,1024,1423,ano_2001003.txt,,0.5101000070571899,Control
1958,"The team found the following discrepancies in the license renewal documentation associated with the service water system, all of which the applicant corrected.",42,1423,1582,ano_2001003.txt,,0.9100000262260437,Planning
1959,< The applicant failed to include service water pipe Class JBD in Engineering Report 93-R-1016-06 as requiring an aging management review (Section 111.A.3).,42,1582,1738,ano_2001003.txt,,0.9042999744415283,Org-Coordination
1960,The applicant failed to include service water tubing in Engineering Report 93-R-1016-06 as requiring an aging management review (Section 111.A.3).,42,1738,1884,ano_2001003.txt,,0.6305000185966492,Org-Coordination
1961,"The applicant failed to include in Engineering Report 93-R-1016-06, the Service Water integrity Program as managing loss of material in the service water system (Section 111.A.3).",42,1884,2063,ano_2001003.txt,,0.9031000137329102,Cognition
1962,"The applicant failed to include in their license renewal boundary, three decay heat removal and reactor building spray pump cooling water lines on service water system Boundary Drawings LRA-M-232 and -236 (Section 111.A.3).",42,2063,2286,ano_2001003.txt,,0.3346000015735626,Information
1968,"For the electrical systems reviewed, the team found that the applicant properly identified the effects of aging and identified programs that will manage those effects, in accordance with their license renewal application and the NRC's ""Safety Evaluation Report with open items related to the license renewal of Arkansas Nuclear One, Unit 1,"" dated January 2001,"" (Section 111.B).",54,0,379,ano_2001003.txt,,0.6057000160217285,Communication
1971,"For the four structures and structural commodity groups reviewed, the team found that, in general, the applicant properly identified the effects of aging and identified programs that will manage those effects, in accordance with their license renewal application and the NRC's ""Safety Evaluation Report with open items related to the license renewal of Arkansas Nuclear One, Unit 1,"" dated January 2001, (Section 111.C).",60,0,420,ano_2001003.txt,,0.4345000088214874,Communication
1972,"However, in Engineering Report 93-R-1015-07, the applicant mischaracterized chemical spills as an aging mechanism, and erroneously credited housekeeping activities as a program to manage the effects of chemical spills.",60,420,638,ano_2001003.txt,,0.3041999936103821,Information
1973,Chemical spills are event-driven and as such are not aging mechanisms.,60,638,708,ano_2001003.txt,,0.525600016117096,Information
1974,"In addition, housekeeping activities cannot be credited as managing the effects of aging.",60,708,797,ano_2001003.txt,,0.445499986410141,Management
1975,The applicant revised the engineering report to correct the characterization and application of chemical spills (Section 111.C.4).,60,797,927,ano_2001003.txt,,0.8389999866485596,Procedural&Team
1976,"For the existing aging management programs reviewed, the team found that, in general, these programs are being conducted as described in plant procedures and will be effective in managing aging effects for which they are credited in their license renewal application and as approved in the NRC's ""Safety Evaluation Report with open items related to the license renewal of Arkansas Nuclear One, Unit 1,"" dated January 2001, (Section 111.D).",60,927,1366,ano_2001003.txt,,0.6291999816894531,Cognition
1977,The applicant was unable to locate program records from the last ANO-1 inspections performed under the Boric Acid Corrosion Prevention Program.,60,1366,1509,ano_2001003.txt,,0.44859999418258667,Information
1978,"In addition, there was no evidence that results of past inspections under this program had been trended.",60,1509,1613,ano_2001003.txt,,0.5712000131607056,Control
1979,The applicant initiated Condition Reports CR-ANO-1-2001-0041 and CR-ANO-1-2001-0050 to document and correct these problems (Section 111.D.1).,60,1613,1754,ano_2001003.txt,,0.5771999955177307,Management
1980,"The team found the following discrepancies in the documentation associated with existing aging management programs all of which the applicant has corrected: < In Appendix B of their license renewal application, the applicant erroneously identified American Society of Mechanical Engineers Boiler and Pressure Vessel Code, Section XI (ASME Section XI), Subsection IWC pressure testing and the Heat Exchanger Monitoring Program as programs that will manage fouling in the decay heat removal coolers.",60,1754,2251,ano_2001003.txt,,0.48010000586509705,Planning
1981,The Service Water Integrity Program is the correct aging management program for managing the effects of fouling on thermal performance (Section 111.D.7).,60,2251,2404,ano_2001003.txt,,0.9853000044822693,Procedural&Team
1982,"In Appendix B of their license renewal application, the applicant erroneously identified ASME Section XI, Subsection IWC and the Heat Exchanger Monitoring Program as programs that will manage loss of material in the decay heat removal coolers.",60,2404,2647,ano_2001003.txt,,0.6121000051498413,Procedural&Team
1983,The Heat Exchanger Monitoring Program is the correct aging management program for managing loss of material (Section 111.D.7).,60,2647,2773,ano_2001003.txt,,0.9534000158309937,Procedural&Team
1984,"Appendix B to the license renewal application erroneously stated that the polar crane is inspected annually, when it is actually inspected every refueling outage (Section 111.D.16).",60,2773,2954,ano_2001003.txt,,0.4472000002861023,Management
1991,-3< The list of augmented inspections in Appendix B to the license renewal application omitted three ASME Section XI augmented inspections which were credited in Engineering Report 93-R-1011-01 for managing aging (Section 111.D.25).,74,0,233,ano_2001003.txt,,0.8830999732017517,Team & Organization
1993,"For the proposed new and proposed enhanced aging management programs reviewed, the team found that if implemented in accordance with the license renewal application and as approved in the NRC's ""Safety Evaluation Report with open items related to the license renewal of Arkansas Nuclear One, Unit 1,"" dated January 2001, these programs will be effective in managing aging effects for which they are credited (Section 111.D).",78,0,424,ano_2001003.txt,,0.5220999717712402,Cognition
1994,"During this inspection, the team closed open items resulting from the license renewal scoping and screening inspection conducted December 11-15, 2000, and documented in NRC Inspection Report 50-313/00-17; 50-368/00-17, dated February 2, 2001, (Section 111.E).",80,0,259,ano_2001003.txt,,0.375900000333786,Control
1995,Report Details Aging Management Inspection,82,0,43,ano_2001003.txt,,0.35580000281333923,Control
1997,NRC Scoping and Screening Inspection,86,0,36,ano_2001003.txt,,0.593999981880188,Control
1998,"By letter dated January 31, 2000, Entergy Operations, Inc. (the applicant) submitted to the NRC an application to renew the operating license for Arkansas Nuclear One, Unit 1 (ANO-1), to allow an additional 20 years of operation.",88,0,229,ano_2001003.txt,,0.5566999912261963,Control
1999,"In support of the NRC Office of Nuclear Reactor Regulation (NRR) technical review of the application, the NRC Region IV staff conducted two inspections at the plant site in Russellville, Arkansas.",88,229,425,ano_2001003.txt,,0.5710999965667725,Control
2000,"The first inspection was a scoping and screening inspection conducted from December 11-15, 2000.",88,425,521,ano_2001003.txt,,0.6657000184059143,Control
2001,"The purpose of this inspection was to verify, through sampling, that the applicant performed license renewal scoping and screening activities consistent with their license renewal application.",88,521,713,ano_2001003.txt,,0.8658000230789185,Planning
2002,"With the exception of the followup items identified during the inspection, NRC Region IV staff concluded that the applicant's scoping and screening process was successful in identifying those systems, structures, and commodity groups required to be considered for aging management.",88,713,994,ano_2001003.txt,,0.9075999855995178,Performance
2003,"The results of the scoping and screening inspection are presented in NRC Inspection Report 50-313/00-17; 50-368/00-17, dated February 2, 2001, and are available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS).",88,994,1313,ano_2001003.txt,,0.5778999924659729,Control
2004,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/NRC/ADAMS/index.html (the Public Electronic Reading Room).,88,1313,1435,ano_2001003.txt,,0.7738000154495239,Procedural&Team
2005,The followup items are dispositioned in Section 111.E of this inspection report.,88,1435,1515,ano_2001003.txt,,0.43619999289512634,Control
2007,Aging Management Inspection Scope,88,1518,1551,ano_2001003.txt,,0.6926000118255615,Control
2008,This inspection was conducted by a team of NRC regional and headquarters inspectors and two members of NRR.,90,0,107,ano_2001003.txt,,0.5058000087738037,Control
2009,"The purpose of this inspection was to verify that the applicant identified in their license renewal application the aging effects for those systems, structures, and commodity groups determined to be within the scope of license renewal.",90,107,342,ano_2001003.txt,,0.5194000005722046,Control
2010,"In addition, this inspection was performed to verify that appropriate measures were taken or will be taken to manage those aging effects such that intended functions of the selected systems, structures, and commodity groups are maintained throughout the period of extended operation.",90,342,625,ano_2001003.txt,,0.9162999987602234,Performance
2011,"Using the same systems, structures, and commodity groups selected for review during the NRC's scoping and screening inspection, the team reviewed the results of the applicant's aging management review to determine that the applicant had identified the appropriate aging mechanisms or effects.",90,625,917,ano_2001003.txt,,0.5784000158309937,Control
2012,"Accessible portions of these systems, structures, and commodity groups were visually examined to verify that all observable aging effects were identified by the applicant.",90,917,1088,ano_2001003.txt,,0.9491000175476074,Planning
2013,"The team also reviewed the applicant's aging management documents to determine if aging effects will be properly managed, so that intended functions of the selected systems, structures, and commodity groups are maintained throughout the period of extended operation in accordance with the license renewal application and the NRC's ""Safety Evaluation Report with open items related to the license renewal of Arkansas Nuclear One, Unit 1,"" (SER) dated January 2001.",90,1088,1551,ano_2001003.txt,,0.27619999647140503,Planning
2014,"This included review of: (1) existing programs, (2) existing programs that require enhancement, and (3) available documentation of the applicant's plans for new programs to be created prior to the period of extended operation.",90,1551,1777,ano_2001003.txt,,0.564300000667572,Control
2015,"In addition, the team held discussions with applicant staff responsible for the implementation of these aging management programs, to assess their knowledge and involvement in the license renewal effort.",90,1777,1980,ano_2001003.txt,,0.8945000171661377,Procedural&Team
2016,Documents reviewed by the team are listed in Attachment 1 to this report.,90,1980,2053,ano_2001003.txt,,0.6743999719619751,Control
2019,"Inspection Results Evaluation of Mechanical Systems Aging Management The team reviewed the applicant's programs for addressing the effects of aging on selected mechanical systems to verify that the appropriate aging effects were identified and could be managed by the credited programs, consistent with the applicant's license renewal application and the NRC's SER.",92,9,374,ano_2001003.txt,,0.2793999910354614,Information
2020,"The team reviewed the applicant's license renewal application, the SER, and engineering reports, interviewed cognizant applicant staff members, and performed visual examinations of accessible portions of the selected systems.",92,374,599,ano_2001003.txt,,0.3043999969959259,Procedural&Team
2021,Documents reviewed by the team are listed in Attachment 1 to this report.,92,599,672,ano_2001003.txt,,0.6743999719619751,Control
2022,"The results of the team's evaluations are discussed below, by system.",92,672,741,ano_2001003.txt,,0.5795000195503235,Control
2024,Emergency Feedwater System a.,92,743,772,ano_2001003.txt,,0.275299996137619,Control
2025,Scope The team reviewed the emergency feedwater (EFW) system drawings and the applicant's aging management review of the EFW system (documented in engineering reports).,92,772,940,ano_2001003.txt,,0.5490000247955322,Procedural&Team
2026,"The team also interviewed the responsible system and program engineers, and performed visual examinations of accessible portions of the EFW system.",92,940,1087,ano_2001003.txt,,0.38929998874664307,Information
2027,"b. Observations For the EFW system, the applicant identified two new programs and five existing programs to manage the effects of loss of material, cracking, loss of mechanical closure integrity, and fouling in the EFW system.",92,1087,1313,ano_2001003.txt,,0.9972000122070312,Procedural&Team
2028,"The new programs the applicant is crediting for managing the effects of aging are: (1) the Heat Exchanger Monitoring Program, and (2) the Wall Thinning Inspection.",92,1313,1476,ano_2001003.txt,,0.47749999165534973,Org-Coordination
2029,"The existing programs are: (1) American Society of Mechanical Engineers Boiler and Pressure Vessel Code, Section XI (ASME Section XI), Subsection IWC inservice inspections; (2) Chemistry Control, Secondary Chemistry Monitoring; (3) Maintenance Rule; (4) Oil Analysis Program; and (5) the System and Component Monitoring, Inspection, and Testing, (Emergency Feedwater Pump Testing).",92,1476,1857,ano_2001003.txt,,0.535099983215332,Procedural&Team
2030,Detailed reviews of these programs are provided in Section III.D of this report.,92,1857,1937,ano_2001003.txt,,0.4627000093460083,Information
2031,"c. Conclusions The team found that, for this system, the applicant properly identified the effects of aging and the programs that will manage those effects, in accordance with their license renewal application and the NRC's SER.",92,1937,2165,ano_2001003.txt,,0.7504000067710876,Communication
2033,Main Feedwater System a.,94,5,29,ano_2001003.txt,,0.26910001039505005,Procedural&Team
2034,Scope The team reviewed the main feedwater (MFW) system drawings and reviewed the applicant's aging management review of the MFW system (documented in engineering reports).,94,29,201,ano_2001003.txt,,0.36230000853538513,Information
2035,"In addition, the team interviewed the responsible system and program engineers, and performed a visual inspection of the accessible portions of the MFW system.",94,201,360,ano_2001003.txt,,0.4390000104904175,Information
2037,"Observation For the MFW system, the applicant identified the following five existing programs to manage the effects of loss of material, cracking, and loss of mechanical closure integrity: (1) ASME Section XI, Subsection IWC inservice inspection, and augmented inspections; (2) Chemistry Control, Secondary Chemistry Monitoring; (3) Flow Accelerated Corrosion Prevention; (4) Maintenance Rule; and (5) Leakage Detection in the Reactor Building.",94,362,806,ano_2001003.txt,,0.4104999899864197,Cognition
2038,Detailed reviews of these programs are provided in Section III.D of this report.,94,806,886,ano_2001003.txt,,0.4627000093460083,Information
2039,"c. Conclusions The team found that, for this system, the applicant properly identified the effects of aging and the programs that will manage those effects, in accordance with their license renewal application and the NRC's SER.",94,886,1114,ano_2001003.txt,,0.7504000067710876,Communication
2041,Service Water System a.,94,1116,1139,ano_2001003.txt,,0.2782000005245209,Procedural&Team
2042,Scope The team reviewed the service water (SW) system drawings and the applicant's aging management review of the SW system (documented in engineering reports).,94,1139,1299,ano_2001003.txt,,0.79339998960495,Procedural&Team
2043,The team also interviewed the responsible system and program engineers and performed a visual examination of accessible portions of the SW system.,94,1299,1445,ano_2001003.txt,,0.4724999964237213,Information
